"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"CA","El Cajon Energy Center",57001,"1",,2024,365,265.11,9387.55,,0.03,0.001,5844.925,0.0593,1.004,0.0362,98357.305,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Canyon Power Plant",57027,"1",,2024,85,49.01,2066.73,,0.006,0.0009,1271.793,0.0593,0.097,0.0219,21403.218,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection",,,"ARP"
"CA","Canyon Power Plant",57027,"2",,2024,682,531.52,22416.21,,0.067,0.001,13360.24,0.0592,0.873,0.0121,224829.662,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection",,,"ARP"
"CA","Canyon Power Plant",57027,"3",,2024,686,536.29,23268.55,,0.07,0.001,13839.61,0.0592,0.882,0.0098,232880.548,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection",,,"ARP"
"CA","Canyon Power Plant",57027,"4",,2024,980,762.52,33477.79,,0.101,0.001,19938.062,0.0592,1.324,0.0143,335487.998,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection",,,"ARP"
"CA","Ivanpah 2",57073,"BLR1",,2024,6447,6447,,,0.098,0.0002,26788.3,0.0584,2.489,0.0105,454677.8,"Pipeline Natural Gas",,"Other boiler",,,,,"ARP"
"CA","Ivanpah 1",57074,"BLR1",,2024,5103,5103,,,0.084,0.0002,22085.9,0.0592,2.055,0.0108,374094.7,"Pipeline Natural Gas",,"Other boiler",,,,,"ARP"
"CA","Ivanpah 3",57075,"BLR1",,2024,7309,7309,,,0.092,0.0002,26502.2,0.0587,2.469,0.0108,449552,"Pipeline Natural Gas",,"Other boiler",,,,,"ARP"
"CA","Marsh Landing Generating Station",57267,"1",,2024,214,174.87,29311.48,,0.097,0.001,19145.464,0.059,1.344,0.0139,322145.121,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Marsh Landing Generating Station",57267,"2",,2024,353,298.78,51040.39,,0.168,0.001,33302.229,0.059,2.271,0.0125,560367.066,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Marsh Landing Generating Station",57267,"3",,2024,223,176.98,29782.99,,0.098,0.001,19419.67,0.059,1.287,0.0146,326773.05,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Marsh Landing Generating Station",57267,"4",,2024,281,235.15,40408.49,,0.132,0.001,26080.622,0.059,1.597,0.0117,438853.022,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"1",,2024,990,782.31,67655.2,,0.183,0.001,36297.394,0.0591,3.109,0.015,610785.139,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"2",,2024,855,675.97,57643.3,,0.156,0.001,30917.183,0.0591,2.873,0.0165,520252.499,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"3",,2024,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"4",,2024,868,673.61,56381.64,,0.159,0.001,31462.013,0.0591,2.781,0.0158,529406.062,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"5",,2024,996,772.5,66475.95,,0.181,0.001,35760.931,0.0591,3.216,0.0163,601750.449,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"6",,2024,890,698.53,59112.12,,0.163,0.001,32353.789,0.0591,2.741,0.0149,544409.395,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"7",,2024,907,710.53,60559.7,,0.165,0.001,32627.1,0.0591,2.993,0.0167,549017.602,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Sentinel Energy Center, LLC",57482,"8",,2024,960,755.91,65050.61,,0.176,0.001,34959.774,0.0591,3.13,0.0158,588262.722,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Mariposa Energy Project",57483,"GT-1",,2024,742,574.88,23719.57,,0.069,0.001,13725.02,0.0592,1.157,0.0265,230948.38,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Mariposa Energy Project",57483,"GT-2",,2024,824,645,25970.19,,0.076,0.001,15064.545,0.0592,1.225,0.0226,253506.65,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Mariposa Energy Project",57483,"GT-3",,2024,793,610.38,24967.3,,0.072,0.001,14268.273,0.0593,1.209,0.0256,240071.622,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Mariposa Energy Project",57483,"GT-4",,2024,725,568.28,22877.53,,0.067,0.001,13265.226,0.0592,1.127,0.0237,223225.49,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Creek Energy Park",57515,"GT1",,2024,977,753.15,67677.48,,0.174,0.001,34536.56,0.0591,3.031,0.0217,581171.355,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Creek Energy Park",57515,"GT2",,2024,926,708.88,64631.46,,0.167,0.001,33135.272,0.0591,2.915,0.022,557560.503,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Creek Energy Park",57515,"GT3",,2024,1084,839.25,75239.55,,0.197,0.001,38945.155,0.0591,3.168,0.0208,655333.608,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Creek Energy Park",57515,"GT4",,2024,383,276.59,23628.58,,0.063,0.001,12441.998,0.0591,1.185,0.0263,209374.142,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Creek Energy Park",57515,"GT5",,2024,921,708.27,63302.63,,0.167,0.001,33059.447,0.0591,2.544,0.0203,556297.564,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Pio Pico Energy Center LLC",57555,"CTG1",,2024,421,279.88,19510.66,,0.057,0.001,11201.25,0.0591,1.131,0.0241,188491.818,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Pio Pico Energy Center LLC",57555,"CTG2",,2024,551,352.68,26858.31,,0.074,0.001,14669.368,0.0591,1.566,0.0274,246830.107,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Pio Pico Energy Center LLC",57555,"CTG3",,2024,473,303.77,22306.65,,0.063,0.001,12381.512,0.0591,1.211,0.0257,208348.354,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Algonquin Power Sanger",57564,"8",,2024,331,283.41,8270.02,,0.027,0.001,5410.074,0.0592,0.724,0.0217,91033.09,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Lodi Energy Center",57978,"CT1",,2024,3197,3113.47,518157.14,,1.667,0.001,330169.469,0.059,17.096,0.0081,5555736.84,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Delano Energy Center, LLC",58122,"GEN1",,2024,373,269.96,8172.24,,0.026,0.001,5079.609,0.0593,0.352,0.0097,85473.213,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Stanton Energy Reliability Center",60698,"D1",,2024,96,46.04,1321.71,,0.004,0.001,843.168,0.0593,0.081,0.0215,14189.593,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Stanton Energy Reliability Center",60698,"D7",,2024,88,44.62,1289.43,,0.004,0.001,825.835,0.0592,0.071,0.0164,13901.398,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
