"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"CA","Harbor Generating Station",399,"13",,2024,622,509.1,21291.53,,0.063,0.001,12437.918,0.059,1.144,0.013,211550.594,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"14",,2024,687,564.96,23371.64,,0.069,0.001,13608.913,0.059,1.164,0.0113,231446.342,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"1",,2024,2092,2079.82,132900.8,,0.445,0.001,86992.814,0.059,0.894,0.0016,1483811.98,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"10",,2024,5092,4987.27,1132784.85,,2.381,0.001,465277.263,0.059,25.606,0.008,7936032.671,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"11",,2024,201,164.33,14760.79,,0.041,0.001,7940.036,0.059,0.629,0.0101,135437.477,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"12",,2024,444,348.75,30447.04,,0.084,0.001,16491.473,0.059,1.315,0.0095,281278.388,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"13",,2024,312,248.36,22362.92,,0.062,0.001,12026.788,0.059,1.044,0.0109,205127.561,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"14",,2024,168,141.19,11519.14,,0.032,0.001,6242.104,0.059,0.516,0.0116,106478.603,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"15",,2024,344,288.44,26815.31,,0.072,0.001,14141.509,0.059,1.132,0.0093,241199.373,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"16",,2024,532,440.49,39069.72,,0.107,0.001,20866.207,0.0589,1.606,0.0095,355886.104,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"2",,2024,1,1,0,,0,0.001,7.8,0.059,0.001,0.009,133.2,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Haynes Generating Station",400,"9",,2024,5527,5457.99,1193053.28,,2.514,0.001,491375.525,0.059,30.687,0.0083,8381170.715,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Scattergood Generating Station",404,"1",,2024,1309,1293.48,54749.51,,0.206,0.001,40132.539,0.0583,1.126,0.0082,686542.977,"Pipeline Natural Gas","Other Gas","Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Scattergood Generating Station",404,"2",,2024,1853,1841.95,90473.22,,0.298,0.001,58151.551,0.0583,0.977,0.0028,994755.412,"Pipeline Natural Gas","Other Gas","Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Scattergood Generating Station",404,"4",,2024,2836,2805.16,754330.42,,1.615,0.001,314766.351,0.058,14.449,0.0057,5384560.972,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Scattergood Generating Station",404,"6",,2024,1702,1464.59,129300.54,,0.355,0.001,69099.839,0.0582,4.787,0.0082,1182072.338,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Scattergood Generating Station",404,"7",,2024,867,726.75,66198.81,,0.18,0.001,35013.593,0.0582,2.435,0.0082,598974.981,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Valley Generating Station",408,"5",,2024,722,587.98,23713.49,,0.073,0.001,14222.619,0.059,1.125,0.0105,242535.219,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Valley Generating Station",408,"6",,2024,3787,3758.9,810153.55,,1.685,0.001,329359.46,0.059,17.723,0.0072,5617676.636,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Valley Generating Station",408,"7",,2024,3609,3493.76,717749.58,,1.524,0.001,297772.204,0.059,21.737,0.0125,5078956.974,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Glenarm",422,"GT3",,2024,802,712.2,16785.56,,0.054,0.0004,11827.539,0.0593,1.608,0.021,199013.698,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Glenarm",422,"GT4",,2024,750,643.88,15190.92,,0.058,0.0007,11185.74,0.0593,1.613,0.0218,188191.985,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Glenarm",422,"GT5",,2024,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Olive",6013,"01",,2024,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction",,,"ARP"
"CA","Olive",6013,"02",,2024,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Combustion Modification/Fuel Reburning|Selective Catalytic Reduction",,,"ARP"
"CA","Woodland Generation Station",7266,"1",,2024,3964,3875.56,83266.4,,0.305,0.001,60314.095,0.0591,3.767,0.0096,1015178.131,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection|Selective Catalytic Reduction|Steam Injection",,,"ARP"
"CA","Woodland Generation Station",7266,"2",,2024,5064,5050.92,164090.26,,0.425,0.001,84087.134,0.0593,4.951,0.0071,1414926.21,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Redding Power Plant",7307,"5",,2024,5734,5709.16,188757.11,,0.493,0.001,98107.9,0.0597,2.281,0.0032,1643296.412,"Pipeline Natural Gas",,"Combined cycle",,"Other",,,"ARP"
"CA","Redding Power Plant",7307,"6",,2024,2374,2366.15,85983.5,,0.221,0.001,43711.136,0.0594,0.76,0.0025,735023.701,"Pipeline Natural Gas",,"Combustion turbine",,"Other",,,"ARP"
"CA","Almond Power Plant",7315,"1",,2024,2535,2375.29,78596.05,,0.222,0.001,43971,0.0593,4.366,0.0195,739862.713,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction|Steam Injection",,,"ARP"
"CA","Almond Power Plant",7315,"2",,2024,842,643.06,25156.45,,0.075,0.001,14894.434,0.0593,1.249,0.0202,250608.5,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Almond Power Plant",7315,"3",,2024,307,229.87,8332.16,,0.025,0.001,5030.869,0.0593,0.438,0.0216,84650.2,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Almond Power Plant",7315,"4",,2024,2448,2160.46,73084.85,,0.23,0.001,45479.274,0.0593,3.686,0.0165,765257.089,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","NCPA Combustion Turbine Project #2",7449,"NA1",,2024,275,223.28,8873.86,,0.023,0.001,4651.515,0.0593,0.632,0.026,78272.354,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Carson Power Plant",7527,"1",,2024,2579,2561.97,102683.38,,0.269,0.001,52285.799,0.058,3.505,0.0081,896782.067,"Natural Gas","Other Gas","Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Carson Power Plant",7527,"2",,2024,267,210.11,4008.54,,0.021,0.001,4098.67,0.0593,0.572,0.025,68979.431,"Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Procter and Gamble Power Plant",7551,"1A",,2024,7550,7521.01,345089.26,,0.854,0.001,169043.956,0.0592,11.171,0.008,2844503.021,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Procter and Gamble Power Plant",7551,"1B",,2024,5921,5895.61,277238.6,,0.739,0.001,146394.786,0.0592,8.474,0.0071,2463338.302,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Procter and Gamble Power Plant",7551,"1C",,2024,476,406.45,17323.17,,0.047,0.001,9398.264,0.0593,0.781,0.0141,158136.156,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Campbell Power Plant",7552,"1",,2024,5426,5403.71,771332.94,,1.669,0.001,330543.987,0.059,26.147,0.0101,5562023.868,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Lake",7987,"01",,2024,495,408.39,14411.47,,0.045,0.0008,8581.726,0.0593,0.706,0.0103,144398.424,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Calpine Gilroy Cogen, LP",10034,"S-100",,2024,573,501.78,45053.27,,0.115,0.001,22832.593,0.0591,6.16,0.05,384208.736,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners",,,"ARP"
"CA","Fresno Cogeneration Partners, LP",10156,"GEN1",,2024,140,85.24,2177.69,,0.007,0.001,1438.667,0.0593,0.175,0.0238,24210.458,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Carson Cogeneration Company",10169,"D1",,2024,553,468.65,15939.21,,0.048,0.001,9591.382,0.0592,1.381,0.0606,161405.278,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","King City Power Plant",10294,"2",,2024,428,316.54,12378.76,,0.04,0.001,7952.619,0.0593,0.9,0.0218,133818.462,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","King City Power Plant",10294,"GTG",,2024,501,450.09,38198.92,,0.102,0.001,20242.242,0.059,17.913,0.1219,341278.532,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Yuba City Energy Center",10349,"2",,2024,1495,1317.15,40777.83,,0.118,0.001,23419.657,0.0593,10.283,0.1574,394084.995,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Greenleaf One",10350,"CTGA",,2024,128,94.86,2329.41,,0.007,0.001,1374.56,0.0594,0.091,0.012,23125.442,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Greenleaf One",10350,"CTGB",,2024,110,78.54,1848.97,,0.005,0.001,1087.973,0.0593,0.078,0.0132,18308.764,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Kingsburg Cogen Facility",10405,"1",,2024,352,280.37,5363.14,,0.02,0.001,3937.11,0.0594,0.694,0.0266,66249.287,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Bear Mountain Limited",10649,"GT1",,2024,833,748.1,29037.19,,0.081,0.001,16005.976,0.0593,2.399,0.0294,269325.668,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Badger Creek Limited",10650,"GT1",,2024,421,368.88,13724.86,,0.026,0.001,5099.858,0.0591,1.458,0.0469,85714.866,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","E. F. Oxnard Energy Facility",10776,"GTG",,2024,403,318.25,9959,,1.39,0.027,6072.902,0.0593,0.946,0.0347,102191.879,"Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","McKittrick Limited",50612,"GT1",,2024,387,316.27,11191.38,,0.032,0.001,6252.101,0.0592,1.867,0.049,105219.955,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Salinas River Cogeneration Facility",50865,"1",,2024,7852,7837.85,266971.87,,1.051,0.001,208165.2,0.0592,26.811,0.0154,3502771.764,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","DTE Stockton",54238,"BIOMS1",,2024,7870,7840.99,372326.18,,0.772,0.0006,510661.829,0.1031,106.832,0.0434,4899509.081,"Wood",,"Stoker","Wet Lime FGD","Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP"
"CA","Goal Line",54749,"1",,2024,322,278.64,11822.67,,0.031,0.001,6210.094,0.0592,0.623,0.0206,104498.907,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Live Oak Limited",54768,"GT1",,2024,406,335.49,12120.23,,0.035,0.001,6895.145,0.0591,1.271,0.0356,116026.326,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Calpine Sutter Energy Center",55112,"CT01",,2024,2779,2703.96,623019.18,,1.278,0.001,253154.178,0.059,20.01,0.0128,4259856.656,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Calpine Sutter Energy Center",55112,"CT02",,2024,5010,4957.94,1127934.65,,2.276,0.001,450808.775,0.059,35.413,0.0109,7585734.527,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","La Paloma Generating Plant",55151,"CTG-1",,2024,2988,2829.56,528646.47,,1.153,0.001,228442.908,0.059,13.723,0.0151,3844009.639,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","La Paloma Generating Plant",55151,"CTG-2",,2024,4555,4363.42,730088.59,,1.66,0.001,328842.314,0.059,17.486,0.0112,5533482.236,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","La Paloma Generating Plant",55151,"CTG-3",,2024,2757,2698.97,416958.91,,0.948,0.001,187777.215,0.059,11.48,0.01,3159703.297,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","La Paloma Generating Plant",55151,"CTG-4",,2024,3272,3161.31,505481.39,,1.154,0.001,228677.497,0.059,10.297,0.0089,3847999.511,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Sunrise Power Company",55182,"CTG1",,2024,5787,5582.57,1379687.73,,2.855,0.001,565531.381,0.059,29.671,0.0083,9516204.141,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction|Dry Low NOx Burners",,,"ARP"
"CA","Sunrise Power Company",55182,"CTG2",,2024,5525,5306.97,1337633.35,,2.749,0.001,544432.876,0.059,25.287,0.0082,9161616.611,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction|Dry Low NOx Burners",,,"ARP"
"CA","Los Medanos Energy Center, LLC",55217,"X724",,2024,7257,7228.76,1885387.42,,3.915,0.001,775569.911,0.059,46.915,0.0079,13050426.214,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Los Medanos Energy Center, LLC",55217,"X725",,2024,6757,6672.73,1752896.13,,3.6,0.001,713149.654,0.059,45.445,0.0097,12000201.114,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Blythe Energy",55295,"1",,2024,1959,1873.22,384464.64,,0.879,0.001,174018.42,0.059,12.921,0.0135,2928208.809,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Blythe Energy",55295,"2",,2024,1520,1440.9,289476.87,,0.665,0.001,131666.162,0.059,11.259,0.0192,2215505.91,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Delta Energy Center, LLC",55333,"1",,2024,4342,4293.09,1136432.4,,2.355,0.001,466479.929,0.059,32.734,0.0098,7849370.386,"Pipeline Natural Gas",,"Combined cycle",,"Ammonia Injection",,,"ARP"
"CA","Delta Energy Center, LLC",55333,"2",,2024,4090,4040.37,1050376.04,,2.158,0.001,427510.345,0.059,30.604,0.0099,7193707.435,"Pipeline Natural Gas",,"Combined cycle",,"Ammonia Injection",,,"ARP"
"CA","Delta Energy Center, LLC",55333,"3",,2024,3958,3883.31,1011900.25,,2.129,0.001,421664.981,0.059,30.498,0.0107,7095295.928,"Pipeline Natural Gas",,"Combined cycle",,"Ammonia Injection",,,"ARP"
"CA","Otay Mesa Energy Center, LLC",55345,"CTG-1",,2024,5208,5090.89,1214086.04,,2.541,0.001,503403.991,0.059,23.95,0.0077,8470796.34,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Otay Mesa Energy Center, LLC",55345,"CTG-2",,2024,5095,4943.7,1198182.12,,2.496,0.001,494504.672,0.059,25.45,0.0089,8320966.602,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Metcalf Energy Center",55393,"1",,2024,5426,5347.49,1393144.49,,2.954,0.001,585164.729,0.059,34.934,0.0082,9846583.65,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Metcalf Energy Center",55393,"2",,2024,5648,5600.7,1469786.5,,3.148,0.001,623666.267,0.059,34.582,0.0071,10494331.26,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Elk Hills Power",55400,"CTG-1",,2024,4712,4695.7,1093187.4,,2.092,0.001,414454.312,0.059,27.12,0.0097,6974064.226,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Elk Hills Power",55400,"CTG-2",,2024,4705,4676.29,1100883.26,,2.084,0.001,412885.228,0.059,22.898,0.0084,6947588.725,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","CalPeak Power - Vaca Dixon",55499,"GT-1",,2024,144,92.57,3601.24,,0.012,0.001,2294.876,0.058,0.253,0.0198,39411.723,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","CalPeak Power - Panoche",55508,"GT-1",,2024,357,270.79,10734.38,,0.035,0.001,6786.368,0.059,0.56,0.0098,115633.727,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","CalPeak Power - Border",55510,"GT-1",,2024,603,429.5,15404.43,,0.05,0.001,9699.366,0.059,1.058,0.0151,165094.238,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cuyamaca Peak Energy",55512,"GT-1",,2024,248,178.07,6079.88,,0.02,0.001,3934.352,0.0585,0.354,0.0135,67235.983,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","CalPeak Power - Enterprise",55513,"GT-1",,2024,232,164.39,6326.11,,0.021,0.001,4066.364,0.0586,0.431,0.0156,69481.133,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","High Desert Power Project",55518,"CTG1",,2024,6156,5995.19,1578279.26,,3.342,0.001,662022.053,0.059,35.346,0.0084,11139822.98,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","High Desert Power Project",55518,"CTG2",,2024,6106,5960.44,1571258.7,,3.309,0.001,655412.473,0.059,38.29,0.0088,11028605.603,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","High Desert Power Project",55518,"CTG3",,2024,6203,6045.6,1590667.31,,3.384,0.001,670258.299,0.059,40.861,0.0097,11278423.453,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Escondido Energy Center, LLC",55538,"CTG1",,2024,310,229.42,9551.15,,0.024,0.001,4793.43,0.0593,0.44,0.0226,80657.237,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"ARP"
"CA","Chula Vista Energy Center",55540,"1A","CS001",2024,111,61.84,875.77,,0.004,0.001,886.455,0.0594,0.418,0.0588,14914.751,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction|Water Injection",,,"ARP"
"CA","Chula Vista Energy Center",55540,"1B","CS001",2024,111,61.88,872.34,,0.004,0.001,879.737,0.0593,0.416,0.0588,14813.596,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners|Selective Catalytic Reduction|Water Injection",,,"ARP"
"CA","Indigo Generation Facility",55541,"1",,2024,313,226.14,8688.73,,0.027,0.001,5337.443,0.0593,0.88,0.0291,89807.97,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Indigo Generation Facility",55541,"2",,2024,274,208.37,7948.87,,0.025,0.001,4882.011,0.0592,0.816,0.0255,82147.128,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Indigo Generation Facility",55541,"3",,2024,309,230.46,9026.16,,0.028,0.001,5532.694,0.0593,0.764,0.0212,93092.412,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Larkspur Energy Faciity",55542,"1",,2024,468,353.02,13789.68,,0.043,0.001,8528.842,0.0593,0.878,0.0235,143511.795,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Larkspur Energy Faciity",55542,"2",,2024,393,284.22,11516.94,,0.037,0.001,7272.403,0.0592,0.846,0.0272,122360.798,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Creed Energy Center",55625,"UNIT1",,2024,265,184.44,6605.79,,0.021,0.001,4166.287,0.0593,0.632,0.0444,70111.069,"Pipeline Natural Gas",,"Combustion turbine",,"Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Lambie Energy Center",55626,"UNIT1",,2024,337,262.69,10190.36,,0.032,0.001,6324.723,0.0592,0.951,0.0373,106427.422,"Pipeline Natural Gas",,"Combustion turbine",,"Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Goose Haven Energy Center",55627,"UNIT1",,2024,442,338.83,13362.06,,0.042,0.001,8244.071,0.0593,1.191,0.0395,138711.61,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Pastoria Energy Facility",55656,"CT001",,2024,6275,6065.92,1237844.49,,3.276,0.001,648889.343,0.059,32.904,0.0081,10918821.147,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Pastoria Energy Facility",55656,"CT002",,2024,5798,5595.37,1162590.42,,3.034,0.001,600941.077,0.059,28.382,0.0073,10112004.518,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Pastoria Energy Facility",55656,"CT004",,2024,5714,5573.66,1294028.08,,2.912,0.001,576896.036,0.059,34.247,0.0092,9707349.68,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Hanford Energy Park Peaker",55698,"HEP1",,2024,159,126,3997.63,,0.012,0.001,2378.587,0.0593,0.297,0.0239,40015.903,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Hanford Energy Park Peaker",55698,"HEP2",,2024,140,109.02,3538.86,,0.011,0.001,2089.788,0.0593,0.237,0.0197,35167.086,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Los Esteros Critical Energy Facility",55748,"CTG1",,2024,1385,1288.34,72283.74,,0.179,0.001,35482.82,0.0592,1.861,0.0093,597086.959,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Los Esteros Critical Energy Facility",55748,"CTG2",,2024,950,866.49,49208.46,,0.121,0.001,23934.264,0.0592,1.336,0.0106,402736.946,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Los Esteros Critical Energy Facility",55748,"CTG3",,2024,1219,1121.88,63258.91,,0.158,0.001,31309.241,0.0592,1.649,0.0092,526853.52,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Los Esteros Critical Energy Facility",55748,"CTG4",,2024,1270,1165.85,66912.01,,0.167,0.001,33133.018,0.0591,1.76,0.0088,557545.063,"Pipeline Natural Gas",,"Combined cycle",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Henrietta Peaker Plant",55807,"HPP1",,2024,207,167.35,5555.07,,0.017,0.001,3310.145,0.0593,0.442,0.033,55703.185,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Henrietta Peaker Plant",55807,"HPP2",,2024,158,123.67,4626.64,,0.013,0.001,2577.334,0.0592,0.329,0.0358,43386.169,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Gilroy Energy Center, LLC",55810,"S-3",,2024,430,307.99,9940.25,,0.027,0.001,5427.501,0.0593,1.162,0.0553,91341.542,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Gilroy Energy Center, LLC",55810,"S-4",,2024,314,218.73,7292.57,,0.03,0.001,5944.455,0.0591,1.386,0.0438,100025.844,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
